chr1	629085	629217	11	98	132	0.7424242
chr1	629219	629271	9	50	52	0.9615384
chr1	629275	629481	55	191	206	0.9271845
chr1	629492	629627	2445	129	135	0.9555556
chr1	629634	630027	187	348	393	0.8854962
chr1	630032	630069	8	37	37	1.0000000
chr1	630085	630108	0	0	23	0.0000000
chr1	630128	630153	9	25	25	1.0000000
chr1	630165	630208	4	33	43	0.7674419
chr1	630212	630316	32	104	104	1.0000000
chr1	630317	630485	75	168	168	1.0000000
chr1	630526	630553	2	23	27	0.8518519
chr1	630598	630638	4	34	40	0.8500000
chr1	630680	630986	726	305	306	0.9967320
chr1	631008	631424	126	407	416	0.9783654
chr1	631438	631464	7	26	26	1.0000000
chr1	631469	631533	18	53	64	0.8281250
chr1	631587	631609	0	0	22	0.0000000
chr1	631739	631810	18	69	71	0.9718310
chr1	631811	632107	101	290	296	0.9797297
chr1	632109	632315	41	203	206	0.9854369
chr1	632317	632403	37	82	86	0.9534883
chr1	632427	632484	5	38	57	0.6666667
chr1	632486	632819	1657	312	333	0.9369369
chr1	632821	632875	28	54	54	1.0000000
chr1	632879	632979	38	100	100	1.0000000
chr1	632982	633035	5	52	53	0.9811321
chr1	633062	633191	52	113	129	0.8759690
chr1	633193	633235	0	0	42	0.0000000
chr1	633237	633310	15	65	73	0.8904110
chr1	633339	633366	2	20	27	0.7407407
chr1	633373	633562	85	180	189	0.9523810
chr1	633566	633620	8	54	54	1.0000000
chr1	633636	633658	1	17	22	0.7727273
chr1	633672	633821	41	135	149	0.9060403
chr1	633888	634108	77	220	220	1.0000000
chr1	634113	634227	18	110	114	0.9649123
chr1	634244	634336	40	92	92	1.0000000
chr1	634337	634492	61	154	155	0.9935484
chr1	634499	634601	26	96	102	0.9411765
chr1	634605	634695	9	85	90	0.9444444
chr1	634719	634797	25	76	78	0.9743590
chr1	634798	634922	26	124	124	1.0000000
chr1	931196	931220	0	0	24	0.0000000
chr1	1051646	1051688	0	0	42	0.0000000
chr1	1082376	1082398	0	0	22	0.0000000
chr1	1167122	1167147	29	23	25	0.9200000
chr1	1167153	1167184	669	26	31	0.8387097
chr1	1167857	1167940	310	68	83	0.8192771
chr1	1169020	1169077	99	24	57	0.4210526
chr1	1231169	1231196	0	0	27	0.0000000
chr1	1296108	1296131	0	0	23	0.0000000
chr1	1303327	1303349	0	0	22	0.0000000
chr1	1304768	1304813	0	0	45	0.0000000
chr1	1349309	1349332	1	8	23	0.3478261
chr1	1545001	1545024	0	0	23	0.0000000
chr1	1575018	1575041	2	22	23	0.9565217
chr1	1589123	1589161	0	0	38	0.0000000
chr1	1683871	1683900	0	0	29	0.0000000
